"lon","lat","year","temperature_anomaly_annual"
76.5,29.5,1956,-0.129357759662665
76.5,29.5,1957,-0.821411791117224
76.5,29.5,1958,0.11506237322337
76.5,29.5,1959,0.0578776577130368
76.5,29.5,1960,0.108690171904577
76.5,29.5,1961,-0.564513657058347
76.5,29.5,1962,-0.364914972896445
76.5,29.5,1963,0.162241941486319
76.5,29.5,1964,-0.33656396749404
76.5,29.5,1965,-0.11625854377571
76.5,29.5,1966,0.0622804261948148
76.5,29.5,1967,-0.282099999842068
76.5,29.5,1968,-0.228953369816796
76.5,29.5,1969,0.554614746101099
76.5,29.5,1970,0.250295875211285
76.5,29.5,1971,-0.238552838482269
76.5,29.5,1972,0.0802815043230037
76.5,29.5,1973,0.178681517545491
76.5,29.5,1974,0.168164541786664
76.5,29.5,1975,-0.236162543051863
76.5,29.5,1976,-0.078994617395388
76.5,29.5,1977,0.0475065186823884
76.5,29.5,1978,-0.170328000351174
76.5,29.5,1979,0.35114186569436
76.5,29.5,1980,0.551548312759139
76.5,29.5,1981,0.255698806537341
76.5,29.5,1982,-0.398387507175746
76.5,29.5,1983,-0.773205800099324
76.5,29.5,1984,0.0525003511540062
76.5,29.5,1985,0.469616422996129
76.5,29.5,1986,-0.192360439284207
76.5,29.5,1987,0.931907005791795
76.5,29.5,1988,0.628841146981964
76.5,29.5,1989,-0.261348711872754
76.5,29.5,1990,-0.054104318439144
76.5,29.5,1991,-0.113152001262323
76.5,29.5,1992,-0.174693619081104
76.5,29.5,1993,0.255400433493395
76.5,29.5,1994,0.267821679376576
76.5,29.5,1995,0.229292865730312
76.5,29.5,1996,-0.059448018222233
76.5,29.5,1997,-0.772498291955419
76.5,29.5,1998,0.312740801887153
76.5,29.5,1999,0.842307491886289
76.5,29.5,2000,0.42891062030701
76.5,29.5,2001,0.379644054092773
76.5,29.5,2002,1.11209694171605
76.5,29.5,2003,0.24503167593622
76.5,29.5,2004,0.887454418997316
76.5,29.5,2005,0.363223621861575
76.5,29.5,2006,1.10391223985855
76.5,29.5,2007,0.777141760473382
76.5,29.5,2008,0.411581758992451
76.5,29.5,2009,1.200271723695
76.5,29.5,2010,1.14882760972601
76.5,29.5,2011,0.387024421479604
76.5,29.5,2012,0.466266869793804
76.5,29.5,2013,0.53942785267144
76.5,29.5,2014,0.495909041860332
76.5,29.5,2015,0.67802474404851
76.5,29.5,2016,1.39215820058773
76.5,29.5,2017,1.0413674666457
76.5,29.5,2018,0.990837950943268
76.5,29.5,2019,0.493884114125004
76.5,29.5,2020,0.24811739543748
76.5,29.5,2021,0.701149244198244
76.5,29.5,2022,1.21593201193091
76.5,29.5,2023,0.614106081997695
76.5,29.5,2024,1.04470389377061
77.5,28.5,1920,-0.373415754894253
77.5,28.5,1921,0.595274322245219
77.5,28.5,1922,-0.345587272799178
77.5,28.5,1923,-0.266251026522623
77.5,28.5,1924,-0.389594928218978
77.5,28.5,1925,-0.553979050327245
77.5,28.5,1926,-0.629532517676484
77.5,28.5,1927,-0.68779156069233
77.5,28.5,1928,0.202865893784605
77.5,28.5,1929,0.0288379453479835
77.5,28.5,1930,-0.446817427169379
77.5,28.5,1931,0.130291116972492
77.5,28.5,1932,0.190697210454102
77.5,28.5,1933,-0.891157108484066
77.5,28.5,1934,-0.502278588855103
77.5,28.5,1935,-0.604969412047569
77.5,28.5,1936,-0.656820923497117
77.5,28.5,1937,-0.617143854702989
77.5,28.5,1938,-0.0762971770273496
77.5,28.5,1939,-0.193901268479555
77.5,28.5,1940,-0.333907408782286
77.5,28.5,1941,0.85726247952409
77.5,28.5,1942,0.050998147324442
77.5,28.5,1943,-0.0586528093873026
77.5,28.5,1944,-0.556803352560828
77.5,28.5,1945,-0.757608149864086
77.5,28.5,1946,0.0266543729256277
77.5,28.5,1947,0.305163715157199
77.5,28.5,1948,0.0139679273315629
77.5,28.5,1949,0.107948957097857
77.5,28.5,1950,-0.799395616577096
77.5,28.5,1951,0.103204346585968
77.5,28.5,1952,0.345330715637471
77.5,28.5,1953,0.66706841673753
77.5,28.5,1954,0.122251189816488
77.5,28.5,1955,-0.324691340163963
77.5,28.5,1956,-0.182288911554306
77.5,28.5,1957,-0.839639076325175
77.5,28.5,1958,-0.0103000185669285
77.5,28.5,1959,0.0692570359994696
77.5,28.5,1960,0.0931797336603774
77.5,28.5,1961,-0.618721029907465
77.5,28.5,1962,-0.354403425242803
77.5,28.5,1963,0.132822239072356
77.5,28.5,1964,-0.264906178731115
77.5,28.5,1965,-0.0394106093743076
77.5,28.5,1966,0.211299210307125
77.5,28.5,1967,-0.273273357718366
77.5,28.5,1968,-0.238108985858863
77.5,28.5,1969,0.542082573697992
77.5,28.5,1970,0.154565455978864
77.5,28.5,1971,-0.458858705444695
77.5,28.5,1972,0.159153058738168
77.5,28.5,1973,0.228558612237238
77.5,28.5,1974,0.236992132071763
77.5,28.5,1975,-0.248206882831985
77.5,28.5,1976,-0.0057297427349729
77.5,28.5,1977,0.0609133002182392
77.5,28.5,1978,-0.232130472423279
77.5,28.5,1979,0.429077113899466
77.5,28.5,1980,0.537290416291503
77.5,28.5,1981,0.261252134140224
77.5,28.5,1982,-0.298553800582886
77.5,28.5,1983,-0.722879715304669
77.5,28.5,1984,0.089471272391374
77.5,28.5,1985,0.39647773541255
77.5,28.5,1986,-0.109443947550369
77.5,28.5,1987,1.00258323035828
77.5,28.5,1988,0.552712594611886
77.5,28.5,1989,-0.260349427061538
77.5,28.5,1990,-0.0903583355962414
77.5,28.5,1991,-0.0440339826149483
77.5,28.5,1992,-0.107488950154658
